ID,Dollars,Area,Region
154,111.5,Rural,5
155,136.86,Rural,5
156,254.08,Rural,5
157,124.52,Rural,5
158,88.42,Rural,5
159,121.07,Rural,5
160,231.02,Rural,5
161,92.78,Rural,5
162,62.68,Rural,5
163,111.28,Rural,5
164,65.11,Rural,5
165,92.63,Rural,5
166,68.03,Rural,5
167,167.28,Rural,5
168,117.1,Rural,5
169,95.28,Rural,5
170,77.35,Rural,5
171,111.36,Rural,5
172,63.98,Rural,5
173,113.82,Rural,5
174,143.77,Rural,5
175,151.16,Rural,5
176,71.67,Rural,5
177,62.66,Rural,5
178,122.01,Rural,5
179,80.14,Rural,5
180,105.09,Rural,5
181,119.57,Rural,5
182,79.5,Rural,5
183,95.18,Rural,5
184,76.02,Rural,5
185,66.65,Rural,5
186,49.78,Rural,5
187,117.42,Rural,5
188,46.73,Rural,5
189,92.53,Rural,5
190,195.35,Rural,5
191,57.96,Rural,5
192,138.03,Rural,5
193,127.64,Rural,5
194,124.69,Rural,5
195,90.62,Rural,5
196,156.9,Rural,5
197,55.77,Rural,5
198,105.14,Rural,5
199,91.78,Rural,5
200,68.75,Rural,5
201,106.84,Rural,5
202,128.63,Rural,5
203,79.47,Rural,5
204,102.3,Rural,5
205,91.56,Rural,5
206,101.1,Rural,5
207,91.42,Rural,5
208,67.49,Rural,5
209,176.46,Rural,5
210,151.14,Rural,5
211,113.45,Rural,5
212,94.77,Rural,5
213,203.24,Rural,5
214,47.21,Rural,5
215,133.05,Rural,5
216,121.13,Rural,5
217,95.34,Rural,5
218,140.36,Rural,5
219,68.87,Rural,5
220,71.01,Rural,5
221,75.74,Rural,5
222,145.24,Rural,5
223,89.53,Rural,5
224,79.19,Rural,5
225,122.82,Rural,5
226,75.33,Rural,5
227,70.68,Rural,5
228,82.21,Rural,5
229,107.75,Rural,5
230,50.38,Rural,5
231,90.14,Rural,5
232,89.04,Rural,5
233,81.57,Rural,5
234,87.27,Rural,5
235,123.12,Rural,5
236,135.26,Rural,5
237,209.83,Rural,5
238,93.59,Rural,5
239,78.73,Rural,5
240,54.21,Rural,5
241,56.03,Rural,5
242,62.48,Rural,5
243,118.92,Rural,5
244,104.61,Rural,5
245,177.21,Rural,5
246,190.82,Rural,5
247,193.98,Rural,5
248,129.61,Rural,5
249,243.93,Rural,5
250,258.9,Rural,5
251,110.93,Rural,5
252,74.66,Rural,5
253,92.89,Rural,5
254,91.19,Rural,5
255,88.02,Rural,5
256,274.86,Rural,5
257,142.1,Rural,5
258,85.97,Rural,5
259,61.33,Rural,5
260,99.81,Rural,5
261,60.7,Rural,5
262,75.87,Rural,5
263,67.75,Rural,5
264,94.54,Rural,5
265,213.98,Rural,5
266,115.57,Rural,5
267,75.46,Rural,5
268,110.49,Rural,5
269,137.39,Rural,5
270,111.67,Rural,5
271,89.49,Rural,5
272,150.66,Rural,5
273,177.85,Rural,5
274,73.98,Rural,5
275,80.62,Rural,5
276,574.52,Rural,5
277,232.4,Rural,5
278,75.79,Rural,5
279,109.26,Rural,5
280,169.97,Rural,5
281,321.93,Rural,5
282,337.42,Rural,5
283,102.73,Rural,5
284,219.96,Rural,5
285,153.91,Rural,5
286,106.08,Rural,5
287,111.61,Rural,5
288,99.06,Rural,5
289,186.63,Rural,5
290,198.21,Rural,5
291,326.89,Rural,5
292,121.16,Rural,5
293,106.07,Rural,5
294,254.04,Rural,5
295,124.6,Rural,5
296,120.15,Rural,5
297,124.98,Rural,5
298,80.61,Rural,5
299,147.48,Rural,5
300,115.18,Rural,5
301,109.81,Rural,5
302,107.65,Rural,5
303,78.73,Rural,5
304,50.89,Rural,5
305,138.83,Rural,5
306,84.27,Rural,5
307,131.31,Rural,5
308,91.29,Rural,5
309,208.06,Rural,5
310,141.72,Rural,5
311,116.55,Rural,5
312,78.39,Rural,5
313,107.88,Rural,5
314,113.69,Rural,5
315,50.87,Rural,5
316,110.38,Rural,5
317,94.99,Rural,5
318,56.13,Rural,5
319,83.84,Rural,5
320,126.33,Rural,5
321,93.91,Rural,5
322,58.49,Rural,5
323,153.87,Rural,5
324,301.48,Rural,5
325,98.82,Rural,5
326,146.7,Rural,5
327,71.64,Rural,5
328,200.63,Rural,5
329,108.95,Rural,5
330,130.82,Rural,5
331,166.07,Rural,5
332,121.89,Rural,5
333,74.61,Rural,5
334,81.6,Rural,5
335,111.63,Rural,5
336,109.01,Rural,5
337,170.07,Rural,5
338,117.33,Rural,5
339,133.8,Rural,5
340,108.24,Rural,5
341,72.73,Rural,5
342,121.22,Rural,5
343,107.61,Rural,5
344,172.08,Rural,5
345,96.08,Rural,5
346,107.98,Rural,5
347,114.91,Rural,5
348,103.12,Rural,5
349,35.77,Rural,5
350,128.31,Rural,5
351,145.19,Rural,5
352,67.89,Rural,5
353,167.73,Rural,5
354,87.66,Rural,5
355,80.73,Rural,5
356,93.41,Rural,5
357,225.73,Rural,5
358,117.51,Rural,5
359,62.81,Rural,5
360,58.73,Rural,5
361,87.16,Rural,5
362,94.41,Rural,5
363,111.94,Rural,5
364,91.41,Rural,5
365,79.71,Rural,5
366,105.19,Rural,5
367,85.12,Rural,5
368,116.87,Rural,5
369,91.99,Rural,5
370,93.65,Rural,5
371,80.14,Rural,5
372,447.62,Rural,5
373,128.5,Rural,5
374,88.53,Rural,5
375,72.22,Rural,5
376,119.47,Rural,5
377,259.65,Rural,5
378,52.16,Rural,5
379,83.83,Rural,5
380,46.8,Rural,5
381,74.53,Rural,5
382,227.44,Rural,5
383,91.16,Rural,5
384,78.65,Rural,5
385,163.33,Rural,5
386,79.93,Rural,5
387,96.67,Rural,5
388,274.93,Rural,5
389,123.08,Rural,5
390,109.84,Rural,5
391,180.72,Rural,5
392,86.48,Rural,5
393,286.47,Rural,5
394,62.29,Rural,5
395,191.72,Rural,5
396,88.21,Rural,5
397,223.84,Rural,5
398,261.91,Rural,5
399,94.85,Rural,5
400,107.64,Rural,5
401,77.65,Rural,5
402,72.7,Rural,5
403,177.74,Rural,5
404,61.89,Rural,5
405,168.41,Rural,5
406,67.93,Rural,5
407,71.01,Rural,5
408,192.53,Rural,5
409,105.85,Rural,5
410,142.35,Rural,5
411,112.41,Rural,5
412,80.14,Rural,5
413,72.17,Rural,5
414,132.05,Rural,5
415,156.41,Rural,5
416,90.33,Rural,5
417,64.23,Rural,5
418,88.97,Rural,5
419,196.03,Rural,5
420,234.74,Rural,5
421,75.07,Rural,5
422,106.24,Rural,5
423,77.43,Rural,5
424,87.09,Rural,5
425,183.89,Rural,5
426,168.08,Rural,5
427,183.62,Rural,5
428,224,Rural,5
429,50.3,Rural,5
430,209.49,Rural,5
431,107.41,Rural,5
432,73.61,Rural,5
433,147.92,Rural,5
434,104.96,Rural,5
435,126.91,Rural,5
436,85.02,Rural,5
437,274.05,Rural,5
438,87.65,Rural,5
439,72,Rural,5
440,100.44,Rural,5
441,140.62,Rural,5
442,91.09,Rural,5
443,116.54,Rural,5
444,77.92,Rural,5
445,55.21,Rural,5
446,116.12,Rural,5
447,87.59,Rural,5
448,78.71,Rural,5
449,82.59,Rural,5
450,204.78,Rural,5
451,75.9,Rural,5
452,97.32,Rural,5
453,68.12,Rural,5
454,109.31,Rural,5
455,82.97,Rural,5
456,168.53,Rural,5
457,125.11,Rural,5
458,37.37,Rural,5
459,59.71,Rural,5
460,118.41,Rural,5
461,131.7,Rural,5
462,83.08,Rural,5
463,110.31,Rural,5
464,90.47,Rural,5
465,71.09,Rural,5
466,137.13,Rural,5
467,103.76,Rural,5
468,169.31,Rural,5
469,91.9,Rural,5
470,105.7,Rural,5
471,169.47,Rural,5
472,95.96,Rural,5
473,73.97,Rural,5
474,96.21,Rural,5
475,88.64,Rural,5
476,91.48,Rural,5
477,71.83,Rural,5
478,200.45,Rural,5
479,230.76,Rural,5
480,72.18,Rural,5
481,55.42,Rural,5
482,62.05,Rural,5
483,74.82,Rural,5
484,80.62,Rural,5
485,180.66,Rural,5
486,78.93,Rural,5
487,105.65,Rural,5
488,318.69,Rural,5
489,86.62,Rural,5
490,305.05,Rural,5
491,65.32,Rural,5
492,154.56,Rural,5
493,129.99,Rural,5
494,91.53,Rural,5
495,109.1,Rural,5
496,193.13,Rural,5
497,109.38,Rural,5
498,128.39,Rural,5
499,141.1,Rural,5
500,98.24,Rural,5
501,139.84,Rural,5
502,146.32,Rural,5
503,124.6,Rural,5
504,54.55,Rural,5
505,99.44,Rural,5
506,175.27,Rural,5
507,148.48,Rural,5
508,106.86,Rural,5
509,84.4,Rural,5
510,93.38,Rural,5
511,89.34,Rural,5
512,171.58,Rural,5
513,109.35,Rural,5
514,150.45,Rural,5
515,132.66,Rural,5
516,147.69,Rural,5
517,84.48,Rural,5
518,117.93,Rural,5
519,126.6,Rural,5
520,74.61,Rural,5
521,69.25,Rural,5
522,146.64,Rural,5
523,176.91,Rural,5
524,123.75,Rural,5
525,81.07,Rural,5
526,114.56,Rural,5
527,68.86,Rural,5
528,57.37,Rural,5
529,102.18,Rural,5
530,193.53,Rural,5
531,108.29,Rural,5
532,61.15,Rural,5
533,108.02,Rural,5
534,74.11,Rural,5
535,92.7,Rural,5
536,73.75,Rural,5
537,105.68,Rural,5
538,119.37,Rural,5
539,152.11,Rural,5
540,93.71,Rural,5
541,72.43,Rural,5
542,66.61,Rural,5
543,114.17,Rural,5
544,90.95,Rural,5
545,108.07,Rural,5
546,141.56,Rural,5
547,76.79,Rural,5
548,111.21,Rural,5
549,66.76,Rural,5
550,80.8,Rural,5
551,113.54,Rural,5
552,93.95,Rural,5
553,169.06,Rural,5
554,126.34,Rural,5
555,72.46,Rural,5
556,85.39,Rural,5
557,259.87,Rural,5
558,203.9,Rural,5
559,56.4,Rural,5
560,130.57,Rural,5
561,104.45,Rural,5
562,157.64,Rural,5
563,97.45,Rural,5
564,160.61,Rural,5
565,96.43,Rural,5
566,43.29,Rural,5
567,95.09,Rural,5
568,148.44,Rural,5
569,92.57,Rural,5
570,107.31,Rural,5
571,140.25,Rural,5
572,214.28,Rural,5
573,97.1,Rural,5
574,49.17,Rural,5
575,248.78,Rural,5
576,115.12,Rural,5
577,103.64,Rural,5
578,80.99,Rural,5
579,122.66,Rural,5
580,69.1,Rural,5
581,67.04,Rural,5
582,243.63,Rural,5
583,49.76,Rural,5
584,85.38,Rural,5
585,85.82,Rural,5
586,62.78,Rural,5
587,93.53,Rural,5
588,75.07,Rural,5
589,87.33,Rural,5
590,155.46,Rural,5
591,207.46,Rural,5
592,54.83,Rural,5
593,160.92,Rural,5
594,104.94,Rural,5
595,150.4,Rural,5
596,129.32,Rural,5
597,103.81,Rural,5
598,107.87,Rural,5
599,126.64,Rural,5
600,77.09,Rural,5
601,237.81,Rural,5
602,220.22,Rural,5
603,101.9,Rural,5
604,157.29,Rural,5
605,42.78,Rural,5
606,108.93,Rural,5
607,190.22,Rural,5
608,111.29,Rural,5
609,80.36,Rural,5
610,231.66,Rural,5
611,117.68,Rural,5
612,104.52,Rural,5
613,104.88,Rural,5
614,111.08,Rural,5
615,90.08,Rural,5
616,78.35,Rural,5
617,117.44,Rural,5
618,77.25,Rural,5
619,79.7,Rural,5
620,38.16,Rural,5
621,122.11,Rural,5
622,64.53,Rural,5
623,63.09,Rural,5
624,127.28,Rural,5
625,67.53,Rural,5
626,118.68,Rural,5
627,274.01,Rural,5
628,130.54,Rural,5
629,165.63,Rural,5
630,220.03,Rural,5
631,104.37,Rural,5
632,66.25,Rural,5
633,109.39,Rural,5
634,292.07,Rural,5
635,129.65,Rural,5
636,343.65,Rural,5
637,91.82,Rural,5
638,228.71,Rural,5
639,165.11,Rural,5
640,122.12,Rural,5
641,104.57,Rural,5
642,125.15,Rural,5
643,106.82,Rural,5
644,54.38,Rural,5
645,94.2,Rural,5
646,117.85,Rural,5
647,154.36,Rural,5
648,106.04,Rural,5
649,109.62,Rural,5
650,115.96,Rural,5
651,105.43,Rural,5
652,161.33,Rural,5
653,84.56,Rural,5
654,80.22,Rural,5
655,72.9,Rural,5
656,322.6,Rural,5
657,128.65,Rural,5
658,144.38,Rural,5
659,215.41,Rural,5
660,81.38,Rural,5
661,160.59,Rural,5
662,92.8,Rural,5
663,159.63,Rural,5
664,149.42,Rural,5
665,157.67,Rural,5
666,126.56,Rural,5
667,68.72,Rural,5
668,198.59,Rural,5
669,124.58,Rural,5
670,128.89,Rural,5
671,77.23,Rural,5
672,97.02,Rural,5
673,101.99,Rural,6
674,450,Rural,6
675,104.56,Rural,6
676,95.27,Rural,6
677,135.64,Rural,6
678,163.68,Rural,6
679,105.18,Rural,6
680,166.68,Rural,6
681,136.95,Rural,6
682,122.66,Rural,6
683,258.55,Rural,6
684,126.76,Rural,6
685,130.36,Rural,6
686,329.85,Rural,6
687,121.01,Rural,6
688,164.4,Rural,6
689,169.6,Rural,6
690,100.81,Rural,6
691,101.55,Rural,6
692,133.04,Rural,6
693,58.91,Rural,6
694,91.37,Rural,6
695,203.35,Rural,6
696,109.4,Rural,6
697,96.18,Rural,6
698,133.49,Rural,6
699,157.49,Rural,6
700,120.11,Rural,6
701,93.16,Rural,6
702,51.28,Rural,6
703,105.1,Rural,6
704,163.21,Rural,6
705,120.08,Rural,6
706,152.45,Rural,6
707,188.41,Rural,6
708,109.25,Rural,6
709,119.74,Rural,6
710,175.07,Rural,6
711,277.98,Rural,6
712,75.72,Rural,6
713,169.06,Rural,6
714,123.17,Rural,6
715,129.99,Rural,6
716,98.01,Rural,6
717,267.07,Rural,6
718,440.81,Rural,6
719,166.45,Rural,6
720,254.31,Rural,6
721,191.47,Rural,6
722,110.24,Rural,6
723,159.99,Rural,6
724,247.18,Rural,6
725,79.69,Rural,6
726,98.81,Rural,6
727,240.93,Rural,6
728,71.65,Rural,6
729,117.08,Rural,6
730,192.97,Rural,6
731,128.94,Rural,6
732,156.16,Rural,6
733,165.98,Rural,6
734,125.24,Rural,6
735,130.69,Rural,6
736,176.03,Rural,6
737,148.49,Rural,6
738,103.51,Rural,6
739,205.79,Rural,6
740,133.85,Rural,6
741,94.54,Rural,6
742,201.67,Rural,6
743,187.73,Rural,6
744,282.94,Rural,6
745,323.7,Rural,6
746,166.53,Rural,6
747,184.91,Rural,6
748,34.48,Rural,6
749,133.36,Rural,6
750,108.27,Rural,6
751,206.24,Rural,6
752,91.69,Rural,6
753,178.02,Rural,6
754,93.41,Rural,6
755,501.65,Rural,6
756,157.44,Rural,6
757,175.34,Rural,6
758,111.01,Rural,6
759,196.3,Rural,6
760,108.98,Rural,6
761,144.69,Rural,6
762,213.27,Rural,6
763,152.62,Rural,6
764,82.54,Rural,6
765,135.28,Rural,6
766,289.24,Rural,6
767,140.73,Rural,6
768,132.93,Rural,6
769,178.38,Rural,6
770,165.21,Rural,6
771,289.17,Rural,6
772,161.57,Rural,6
773,171.26,Rural,6
774,165.94,Rural,6
775,84.21,Rural,6
776,160.59,Rural,6
777,130.77,Rural,6
778,101.95,Rural,6
779,136.09,Rural,6
780,215.82,Rural,6
781,189.47,Rural,6
782,168,Rural,6
783,143.57,Rural,6
784,85.63,Rural,6
785,424.4,Rural,6
786,136.95,Rural,6
787,108.71,Rural,6
788,73.13,Rural,6
789,240.18,Rural,6
790,175.31,Rural,6
791,167.74,Rural,6
792,122.12,Rural,6
793,110.67,Rural,6
794,137.78,Rural,6
795,299.83,Rural,6
796,231.29,Rural,6
797,151.31,Rural,6
798,117.54,Rural,6
799,115.46,Rural,6
800,63.36,Rural,6
801,186.47,Rural,6
802,297.66,Rural,6
803,75.46,Rural,6
804,74.25,Rural,6
805,100.8,Rural,6
806,235.2,Rural,6
807,243.18,Rural,6
808,243.08,Rural,6
809,205.96,Rural,6
810,202.53,Rural,6
811,182.83,Rural,6
812,230.28,Rural,6
813,108.12,Rural,6
814,186.35,Rural,6
815,139.85,Rural,6
816,192.95,Rural,6
817,118.85,Rural,6
818,128.74,Rural,6
819,227.58,Rural,6
820,133.21,Rural,6
821,114.12,Rural,6
822,82.5,Rural,6
823,122.54,Rural,6
824,122.97,Rural,6
825,127.79,Rural,6
826,140.58,Rural,6
827,140.48,Rural,6
828,167.39,Rural,6
829,146.5,Rural,6
830,119.16,Rural,6
831,61.08,Rural,6
832,111.91,Rural,6
833,293.03,Rural,6
834,134.92,Rural,6
835,147.08,Rural,6
836,98.97,Rural,6
837,175.33,Rural,6
838,210.08,Rural,6
839,191.91,Rural,6
840,120.9,Rural,6
841,143.37,Rural,6
842,217.71,Rural,6
843,126.21,Rural,6
844,122.08,Rural,6
845,106.45,Rural,6
846,92.16,Rural,6
847,72.12,Rural,6
848,121.79,Rural,6
849,91.21,Rural,6
850,105.22,Rural,6
851,163.62,Rural,6
852,170.39,Rural,6
853,144.33,Rural,6
854,100.96,Rural,6
855,128.39,Rural,6
856,105.33,Rural,6
857,243.87,Rural,6
858,96.6,Rural,6
859,105.38,Rural,6
860,456.72,Rural,6
861,110.08,Rural,6
862,182.05,Rural,6
863,131.02,Rural,6
864,113.43,Rural,6
865,103.9,Rural,6
866,119.56,Rural,6
867,318.21,Rural,6
868,306.1,Rural,6
869,146.45,Rural,6
870,118.63,Rural,6
871,112.6,Rural,6
872,175.37,Rural,6
873,77.52,Rural,6
874,114.19,Rural,6
875,201.15,Rural,6
876,178.29,Rural,6
877,151.75,Rural,6
878,162.85,Rural,6
879,69.99,Rural,6
880,151.43,Rural,6
881,140.86,Rural,6
882,100.32,Rural,6
883,119.75,Rural,6
884,160.46,Rural,6
885,227,Rural,6
886,240.5,Rural,6
887,83.18,Rural,6
888,163.5,Rural,6
889,375.05,Rural,6
890,197.12,Rural,6
891,117.72,Rural,6
892,130.64,Rural,6
893,125.54,Rural,6
894,119.14,Rural,6
895,122.67,Rural,6
896,257.14,Rural,6
897,139.26,Rural,6
898,139.8,Rural,6
899,248.58,Rural,6
900,200.85,Rural,6
901,62.08,Rural,6
902,182.45,Rural,6
903,110.57,Rural,6
904,66.65,Rural,6
905,97.71,Rural,6
906,214.93,Rural,6
907,202.99,Rural,6
908,184.97,Rural,6
909,138.51,Rural,6
910,155.27,Rural,6
911,158.51,Rural,6
912,115,Rural,6
913,124.07,Rural,6
914,108.93,Rural,6
915,156.13,Rural,6
916,141.6,Rural,6
917,102.95,Rural,6
918,87.14,Rural,6
919,205.56,Rural,6
920,76.91,Rural,6
921,86.57,Rural,6
922,117.07,Rural,6
923,119.9,Rural,6
924,119.54,Rural,6
925,105.47,Rural,6
926,175.15,Rural,6
927,141.13,Rural,6
928,118.69,Rural,6
929,192.06,Rural,6
930,174.92,Rural,6
931,215.23,Rural,6
932,149.68,Rural,6
933,157.84,Rural,6
934,159.29,Rural,6
935,106.86,Rural,6
936,265.9,Rural,6
937,116.13,Rural,6
938,115.38,Rural,6
939,79.29,Rural,6
940,168.83,Rural,6
941,131.63,Rural,6
942,104.26,Rural,6
943,146.18,Rural,6
944,136.16,Rural,6
945,158.89,Rural,6
946,112.73,Rural,6
947,442.97,Rural,6
948,189.16,Rural,6
949,106.8,Rural,6
950,142.38,Rural,6
951,137.58,Rural,6
952,189.11,Rural,6
953,199.02,Rural,6
954,282.39,Rural,6
955,338.96,Rural,6
956,140.06,Rural,6
957,79.9,Rural,6
958,373.49,Rural,6
959,184.04,Rural,6
960,146.25,Rural,6
961,225.56,Rural,6
962,177.44,Rural,6
963,145.07,Rural,6
964,114.18,Rural,6
965,209.33,Rural,6
966,159.96,Rural,6
967,114.65,Rural,6
968,151.75,Rural,6
969,66.35,Rural,6
970,174.87,Rural,6
971,137.04,Rural,6
972,199.95,Rural,6
973,179.98,Rural,6
974,129.14,Rural,6
975,182.2,Rural,6
976,178.61,Rural,6
977,497.48,Rural,6
978,125.29,Rural,6
979,97.59,Rural,6
980,126.6,Rural,6
981,232.86,Rural,6
982,219.07,Rural,6
983,144.33,Rural,6
984,95.78,Rural,6
985,143.25,Rural,6
986,168.74,Rural,6
987,256.66,Rural,6
988,125.14,Rural,6
989,214.95,Rural,6
990,99.67,Rural,6
991,113.69,Rural,6
992,380.78,Rural,6
993,172.49,Rural,6
994,256.31,Rural,6
995,95.56,Rural,6
996,50.74,Rural,6
997,139.13,Rural,6
998,176.65,Rural,6
999,108.36,Rural,6
1000,122,Rural,6
1001,131.73,Rural,6
1002,82.92,Rural,6
1003,89.9,Rural,6
1004,118.25,Rural,6
1005,214.52,Rural,6
1006,112.25,Rural,6
1007,200.74,Rural,6
1008,124.43,Rural,6
1009,79.52,Rural,6
1010,204.2,Rural,6
1011,135.98,Rural,6
1012,288.69,Rural,6
1013,97.32,Rural,6
1014,100.42,Rural,6
1015,132.02,Rural,6
1016,121.11,Rural,6
1017,103.53,Rural,6
1018,121.9,Rural,6
1019,100.25,Rural,6
1020,159.11,Rural,6
1021,91.52,Rural,6
1022,105.46,Rural,6
1023,62.94,Rural,6
1024,86.28,Rural,6
1025,67.5,Rural,6
1026,136.87,Rural,6
1027,207.99,Rural,6
1028,129.53,Rural,6
1029,307.77,Rural,6
1030,192.91,Rural,6
1031,116.07,Rural,6
1032,100.25,Rural,6
1033,133.06,Rural,6
1034,126.77,Rural,6
1035,145.73,Rural,6
1036,178.81,Rural,6
1037,286.25,Rural,6
1038,119.66,Rural,6
1039,197.38,Rural,6
1040,101.79,Rural,6
1041,149.01,Rural,6
1042,50.6,Rural,6
1043,94.99,Rural,6
1044,136.92,Rural,6
1045,164.7,Rural,6
1046,171.45,Rural,6
1047,146.23,Rural,6
1048,132.3,Rural,6
1049,98.36,Rural,6
1050,205.86,Rural,6
1051,24.42,Rural,6
1052,131.12,Rural,6
1053,186.39,Rural,6
1054,112.91,Rural,6
1055,169.69,Rural,6
1056,178.55,Rural,6
1057,108.51,Rural,6
1058,158.92,Rural,6
1059,49.36,Rural,6
1060,227.88,Rural,6
1061,214.13,Rural,6
1062,100.86,Rural,6
1063,128.61,Rural,6
1064,108.74,Rural,6
1065,142.68,Rural,6
1066,144.02,Rural,6
1067,209.56,Rural,6
1068,173.27,Rural,6
1069,244.67,Rural,6
1070,142.83,Rural,6
1071,113.17,Rural,6
1072,150.25,Rural,6
1073,102.43,Rural,6
1074,97.02,Rural,6
1075,103.76,Rural,6
1076,252.29,Rural,6
1077,126.61,Rural,6
1078,150.48,Rural,6
1079,143.86,Rural,6
1080,123.38,Rural,6
1081,85.4,Rural,6
1082,237.7,Rural,6
1083,196.1,Rural,6
1084,83.11,Rural,6
1085,102.36,Rural,6
1086,170.38,Rural,6
1087,180.54,Rural,6
1088,202.26,Rural,6
1089,81.74,Rural,6
1090,116.06,Rural,6
1091,104.74,Rural,6
1092,372.94,Rural,6
1093,167.22,Rural,6
1094,285.47,Rural,6
1095,179.47,Rural,6
1096,220.2,Rural,6
1097,173.58,Rural,6
1098,95.67,Rural,6
1099,162.79,Rural,6
1100,281.17,Rural,6
1101,105.83,Rural,6
1102,135.62,Rural,6
1103,189.59,Rural,6
1104,388.2,Rural,6
1105,115.51,Rural,6
1106,146.33,Rural,6
1107,142.75,Rural,6
1108,252.02,Rural,6
1109,160.54,Rural,6
1110,381.69,Rural,6
1111,212.22,Rural,6
1112,118.27,Rural,6
1113,70.34,Rural,6
1114,120.6,Rural,6
1115,153.46,Rural,6
1116,146.06,Rural,6
1117,281.5,Rural,6
1118,118.83,Rural,6
1119,162.82,Rural,6
1120,216.05,Rural,6
1121,281.68,Rural,6
1122,152.19,Rural,6
1123,226.66,Rural,6
1124,296.1,Rural,6
1125,353.27,Rural,6
1126,100.49,Rural,6
1127,52.09,Rural,6
1128,193.54,Rural,6
1129,133.15,Rural,6
1130,126.84,Rural,6
1131,130.58,Rural,6
1132,167.28,Rural,6
1133,215.16,Rural,6
1134,234.99,Rural,6
1135,176.61,Rural,6
1136,226.46,Rural,6
1137,193.46,Rural,6
1138,183.47,Rural,6
1139,176.59,Rural,6
1140,128.3,Rural,6
1141,102.19,Rural,6
1142,151.89,Rural,6
1143,155,Rural,6
1144,267.46,Rural,6
1145,111.62,Rural,6
1146,151.95,Rural,6
1147,225.72,Rural,6
1148,98.41,Rural,6
1149,436.63,Rural,6
1150,117.2,Rural,6
1151,105.44,Rural,6
1152,113.01,Rural,6
1153,176.19,Rural,6
1154,119.56,Rural,6
1155,130.52,Rural,6
1156,160.15,Rural,6
1157,88.87,Rural,6
1158,135.58,Rural,6
1159,102.29,Rural,6
1160,123.25,Rural,6
1161,127.04,Rural,6
1162,216.53,Rural,6
1163,104.73,Rural,6
1164,111.66,Rural,6
